# Sensor: Sensor Node loads [Node TW_1 | Tubular tower]      
# Record count:   14002      
# Storage mode:  Memory      
# Datetime of save: 2024-11-28T17:37:15      
# Statistical parameters for each field (time series) are placed above the column of the respective time series.
      
# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 100 s      
      
# Column      
      1      	      2      	      3      	      4      	      5      	      6      	      
Time [s]      	Gravity load - material (1129) (mag.)      [    k N      ]      	Gravity load - material (1129) (sign)      [    k N      ]      	Gravity load - material (1129)     .x      [    k N      ]      	Gravity load - material (1129)     .y      [    k N      ]      	Gravity load - material (1129)     .z      [    k N      ]      
----------	----------	----------	----------	----------	----------      
    Min      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
    Max      	1.56117 [100.05s]      	-1.56117 [100.05s]      	      0 [100.05s]      	      0 [100.05s]      	-1.56117 [100.05s]      
   11.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   11.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  11.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     12      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   12.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  12.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     13      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.35      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.4      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.45      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.5      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.55      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.6      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.65      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.7      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.75      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.8      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.85      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   13.9      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  13.95      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
     14      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.05      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.1      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.15      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.2      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
  14.25      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
   14.3      	1.56117      	-1.56117      	      0      	      0      	-1.56117      
